Kode_Dokumen,Judul,Penulis,Tahun_Terbit,Nama_Jurnal_Prosiding,Volume_Halaman,DOI,Bahasa,Basis_Data_Sumber,Afiliasi_Penulis_Pertama,Negara_Afiliasi,Asal_Peneliti,Kolaborasi,Total_Sitasi,Cite_per_Year,Author_Keywords,Index_Keywords,Tema_Utama,Subfield,Teori_Kerangka,Metode_Penelitian,Platform_yang_Dikaji,Kriteria_Inklusi,Alasan_Eksklusi,Referenced_Works,Abstrak
D131,MAQASHID SYARI’AH AS A FILTER OF HOAX THROUGH AL-QURAN PERSPECTIVE,"Witro, Doli",2020,Jurnal Ilmiah Al-Syir ah,"18(2), 187–187",10.30984/jis.v18i2.1133,Inggris,OpenAlex,Sunan Gunung Djati State Islamic University Bandung,ID,Lokal,Tunggal,10,1.7,Hoax; Sociology; Modernity; Epistemology; Philosophy; Medicine,Modernity; Epistemology; Pathology; Alternative medicine,Kontra-aktivisme / disinformasi,Kajian media & demokrasi,Tidak dinyatakan eksplisit / Campuran,Tidak dinyatakan eksplisit,Tidak spesifik / multi-platform,Dimasukkan,,W301675770;W2316371851;W2559949612;W2560722857;W2567035631;W2582561810;W2609215400;W2618345086;W2763452762;W2768500236;W2769989735;W2782959872;W2805367847;W2810935144;W2906194920;W2907323174;W2908180473;W2914905278;W2945512682;W2970158243;W2990019847;W2992464365;W3004442554;W3010214455;W3015128700;W3016505230;W4247930204;W6731378526,"A report of the information from non-profit organization, Communication and Broadcasting Technology, namely the Indonesian Telematics Society (Mastel) in 2019, are based on the results of a survey. It is conducted with 34.60% respondents who receive hoax news every day. Not only to ordinary people, but hoaxes also has come to the educated circles. In Islamic shari'ah, all aspects of life are regulated based on the Al-Quran and Sunnah so that it creates benefit for its adherents and cannot be separated in delivering and receiving the news. Speaking through the benefits, it seems that, it has referred to the purpose of Islamic shari'ah, in which the language of religion is called maqashid syari'ah. This paper focuses on the hoax phenomenon on social media using maqashid syari'ah. This paper aims to further examine the maqashid syari'ah as a news filter on the internet. This study employs a qualitative research type of library research. The data obtained from books, journals, and articles related to maqashid syari'ah and hoaxes. After the data were obtained, the data were presented in a descriptive narrative and were analyzed by using analysis techniques, namely data reduction, data presentation, and data verification. The results show that the five divisions of maqashid syari'ah are able to answer religious previous and contemporary problems of hoaxes. Meanwhile, Maqashid syari'ah can be employed as a filter for every news broadcasted and accepted by the community."
D132,Peluang dan Tantangan Internasionalisasi Pemikiran Muhammadiyah,"Abdullah, M. Amin",2020,Jurnal Muhammadiyah Studies,1(1),10.22219/jms.v1i1.11405,Indonesia,OpenAlex,Sunan Kalijaga State Islamic University Yogyakarta,ID,Lokal,Tunggal,10,1.7,Humanities; Islam; Movement (music); Art; Political science; Philosophy,Humanities; Islam; Movement (music); Theology; Aesthetics,Digital activism (umum),Kajian internet & media,Tidak dinyatakan eksplisit / Campuran,Tidak dinyatakan eksplisit,Tidak spesifik / multi-platform,Dimasukkan,,W86858579;W423235449;W571583863;W2040610750,"Studi ini mencoba membandingkan dan mengevaluasi dua gerakan Islam terbesar di dunia, yaitu Muhammadiyah dan Gulen Movement, khususnya dalam bidang internasionalisasi pemikiran Islam. Tampak bahwa, Gulen Movement memiliki banyak keunggulan dalam persoalan tersebut. Gerakan internasionalisasi yang dilakukan, telah merambah seluruh aspek kehidupan, khususnya di bidang pendidikan yang berbasis etos hizmet (voluntary services) yang menekankan pentingnya penguasaan sains mutakhir dan studi Islam. Hasilnya, para anggota Gulen Movement telah menyebar ke seluruh belahan dunia, yang diikuti oleh para anggota yang berasal dari negara-negara dan bangsa-bangsa yang tidak terbatas hanya pada warga negara Turki. Dalam konteks desaminasi kebajikan ini, Gulen Movement menarik untuk dipertimbangkan oleh organisasi-organisasi keagamaan di Indonesia, khususnya pula oleh Muhammadiyah yang berusia satu abad lebih. Dengan demikian, bila merujuk pada metode dan strategi Gulen Movement, peluang untuk memperkenalkan pemikiran Islam Indonesia yang unik, seperti Islam yang toleran, ramah dan moderat, akan membawa mimpi bersama umat Muslim Indonesia menjadi kenyataan."
D133,NEW MEDIA DAN KONFLIK EKSTRIMIS PEREMPUAN INDONESIA,"Mufida, Siti; Mustolehudin, Mustolehudin",2020,Jurnal Bimas Islam,"13(2), 345–370",10.37302/jbi.v13i2.231,Indonesia,OpenAlex,Sunan Kalijaga State Islamic University Yogyakarta,ID,Lokal,Lokal,10,1.7,Ideology; Humanities; Political science; Sociology; Gender studies; Philosophy,Humanities; Gender studies; Politics; Law,Aktivisme gender / feminisme digital,Kajian gender & komunikasi,Tidak dinyatakan eksplisit / Campuran,Tidak dinyatakan eksplisit,Tidak spesifik / multi-platform,Dimasukkan,,W354026478;W561491071;W1156583097;W1971164756;W2189463726;W2236712780;W2288134526;W2327218560;W2350317065;W2510449748;W2750481339;W2785540832;W2801131274;W2885759160;W2886112067;W2894628563;W2905579271;W2974283746;W2996393490;W2998852959;W3035617972;W3086337176;W3086513569;W3089183472;W3113522561;W3157105447,"Abstrak&#x0D; Tulisan ini bertujuan menganalisis dampak new media terhadap para perempuan yang aktif berselancar di dunia maya terutama dalam hal ideologi keagamaan yang mengarah pada pemikiran dan gerakan ekstrimis. Penelitian ini menggunakan metode kajian literatur. Data diperoleh dari situs-situs online dan di analisis dengan analisis wacana. Hasil penelitian menunjukkan bahwa, new media memiliki pengaruh besar yang dapat merubah ideologi sekelompok perempuan dari inklusif menjadi ekslusif. Beberapa faktor yang mempengaruhi kelompok perempuan di Indonesia berhaluan ekstrim adalah karena adanya rasa ketidak-adilan, kebutuhan emosional, kemiskinan (faktor ekonomi), ketidakpuasan terhadap pemerintah, dan disebabkan ingin menegakkan khilafah. Ideologi yang dikembangkan oleh situs-situs berhaluan ekstrim adalah seputar narasi hijrah, jihad, khilafah, dan intoleransi.&#x0D; Kata Kunci: New Media, Perempuan, Ekslusif, Gerakan Ekstrimis&#x0D; __________________________&#x0D; Abstract&#x0D; This paper aims to analyze the impact of new media on women who actively surf in cyberspace, especially in terms of religious ideology that leads to extremist thoughts and movements. This research uses literature study method. Data obtained from online sites and analyzed by discourse analysis. The results of the research show that new media has a major influence which can change the ideology of women's groups from inclusive to exclusive. Some of the factors that influence women's groups in Indonesia to take extreme positions are due to a sense of injustice, emotional needs, poverty (economic factors), dissatisfaction with the government, and wanting to establish a caliphate. The ideologies developed by sites with extreme tendencies revolve around the narrative of hijrah, jihad, khilafah, and intolerance.&#x0D; Keywords: New Media, Women, Exclusive, Extremist Movements"
D134,The role of social media in shaping the animal protection movement in indonesia,"Aji, Angga Prawadika",2019,Jurnal Studi Komunikasi (Indonesian Journal of Communications Studies),"3(3), 389–389",10.25139/jsk.v3i3.1666,Inggris,OpenAlex,Airlangga University,ID,Lokal,Tunggal,10,1.4,Animal rights; Realm; Social movement; Ideology; Movement (music); Social media,Animal rights; Realm; Movement (music); Social media; Public relations; Identity (music); Law; Politics; Aesthetics,Aktivisme berbasis agama/identitas,Komunikasi agama & media,Teori Gerakan Sosial (Tarrow; McAdam; McCarthy),Tidak dinyatakan eksplisit,Tidak spesifik / multi-platform,Dimasukkan,,W1600892638;W1993679643;W1995582724;W2134310663;W2152065513;W2244645465;W2498735447;W2599330613;W2803755630;W4255472539;W4392829969,"In the past decade, the number of community-based animal protection movements has shown a significant increase in Indonesia. These groups are actively fighting for animal rights, protection, and conservation while continuing to expand the influence and attract new members through various channels, especially social media. This article seeks to see the contribution of the social media strategy used by animal rights groups to the three basic elements of a social movement: collective identity, actual mobilisation, and network organisation. How social media, especially Face book and Instagram, are used by animal rights groups to achieve their ultimate goal as a social movement. This analysis also seeks to map the character of the movement for animal protection in Indonesia in the realm of new media based on their ideology, strategies, and objectives they want to achieve."
D135,PAHAM GENDER MELALUI MEDIA SOSIAL,"Marlina, Inda",2019,Habitus Jurnal Pendidikan Sosiologi & Antropologi,"2(2), 225–225",10.20961/habitus.v2i2.28800,Indonesia,OpenAlex,Universitas Gadjah Mada,ID,Lokal,Tunggal,10,1.4,Humanities; Art; Political science,Humanities,Aktivisme gender / feminisme digital,Kajian gender & komunikasi,Tidak dinyatakan eksplisit / Campuran,Tidak dinyatakan eksplisit,Tidak spesifik / multi-platform,Dimasukkan,,W590737590;W2009146964;W2112986824;W2172754742;W2205319774;W2483107989;W4213048412;W6616318158;W6617502366;W6619209068;W6623639485;W6777706645;W7037831081,"Media sosial membuka peluang bagi kebebasan berpendapat, berbagi informasi, serta interaksi lintas ruang dan waktu. Sisi-sisi positif dari Media sosial ini dimanfaatkan oleh beberapa kelompok yang peduli terhadap penyebaran ilmu pengetahuan, salah satunya adalah pemahaman mengenai gender. Melalui media sosial, suatu berita dapat disebarluaskan secara cepat dan masif. Selain itu, pengetahuan mengenai pemahaman gender juga dapat diterima sedini mungkin. Beberapa gerakan di Indonesia yang telah terorganisasi mendirikan situs dan akun di media sosial. Gerakan tersebut antara lain Indonesia Feminis dan Laki-laki Baru. Di sisi lain, media digital yang fokus pada isu-isu gender, seksualitas, dan perbedaan juga muncul seperti Magdalene. Selain itu terdapat berbagai gerakan lain yang mengikuti perkembangan di dunia barat seperti Women March. Sejak dimulai pada 2017 di Jakarta, Women March, yang menarik aktivis dan penggiat feminisme, diadakan kembali pada 2018. Ajakan konvoi turun ke jalan untuk menyuarakan isu-isu gender dan seksualitas melalui Women March sudah merambah ke kota lain selain Jakarta seperti Pontianak, Serang, Salatiga, Bandung, Yogyakarta, Lampung, hingga Tondano. Dari hal ini, media sosial menjadi sarana penyebaran bersifat masif yang memicu adanya aksi langsung. Tulisan ini akan memuat mengenai peran-peran media sosial sebagai media penyebaran pemahaman gender, apa saja konten yang dimuat untuk memberikan pemahaman mengenai gender melalui ranah digital, dan aksi-aksi langsung seperti apa yang disertakan dalam pembelajaran mengenai gender tersebut."
D136,"MENANGGULANGI HOAKS DAN UJARAN KEBENCIAN BERMUATAN ISU SUKU, AGAMA, RAS, DAN ANTARGOLONGAN DI TAHUN POLITIK","Bakri, Syamsul; Zulhazmi, Abraham Zakky; Laksono, Krisbowo",2019,al-Balagh Jurnal Dakwah dan Komunikasi,"4(2), 199–234",10.22515/balagh.v4i2.1833,Inggris,OpenAlex,Institut Agama Islam Negeri Bengkulu,ID,Lokal,Lokal,10,1.4,Hatred; Hoax; Sociology; Competence (human resources); Politics; Pedagogy,Competence (human resources); Politics; Pedagogy; Social psychology; Law; Alternative medicine; Pathology,Aktivisme berbasis agama/identitas,Komunikasi agama & media,Tidak dinyatakan eksplisit / Campuran,Tidak dinyatakan eksplisit,Tidak spesifik / multi-platform,Dimasukkan,,W154893303;W625524477;W1550111263;W1737861481;W1975783365;W2041624672;W2085887099;W2302467809;W2531728102;W2561561344;W2582561810;W2759872744;W2775711157;W2781800501;W2782047233;W2795391194;W2802718579;W2807489426;W2896264451;W2900602714;W2908383488;W2908498861;W2969662548;W2976484644;W2979836587;W2991600446;W2998550951;W2999615890;W3001612180;W3003602110;W4239517638;W4251017357;W6728434976;W6729970679;W6750881937,"The big challenge of Indonesia in the political year (2018-2019) is the rise of hoax and expressions of hatred, especially with issues of ethnicity, religion, race and intergroup (SARA). Both of them have the potential to be a nation-dividing tool. Islamic Tertiary Institutions have the responsibility to reduce the spread of hoaxes and expressions of hatred, based on the Tri Dharma of Higher Education. This research illustrates the strategy of IAIN Surakarta to overcome SARA hoaxes and expressions of hatred issues in the political year. Theoretically, media literacy includes two things: individual competence consisting of technical skills and critical understanding, and social competence in communicative abilities. In conclusion, the effort to overcome hoaxes and hate speech by IAIN Surakarta is to build critical attitudes of students and the community through various activities, such as: seminars, discussions, community service based study programs, and collaboration with anti-hoax communities. In addition, IAIN Surakarta also strengthened religious moderation through several ways, such as lecturing in community, classroom teaching, and research. Thus, critical understanding and technical skills as aspects of media literacy can be developed."
D137,"Saring sebelum Sharing, Menangkal Berita Hoax, Radikalisme di Media Sosial","Sabiruddin, Sabiruddin",2019,AL MUNIR Jurnal Komunikasi dan Penyiaran Islam,"2(1), 22–40",10.15548/amj-kpi.v2i1.486,Inggris,OpenAlex,Universitas Islam Negeri Imam Bonjol Padang,,Tidak diketahui,Tunggal,10,1.4,Hoax; Political radicalism; Social media; Hatred; Framing (construction); Media studies,Social media; Framing (construction); Media studies; Law; Alternative medicine; Pathology; Archaeology; Politics,Kontra-aktivisme / disinformasi,Kajian media & demokrasi,"Framing Theory (Entman, 1993)",Tidak dinyatakan eksplisit,Tidak spesifik / multi-platform,Dimasukkan,,,"This article reports on concerns about hoax news, radicalism has spread on social media (social media). This concern surfaced when the hoax spread to boil down to utterances of hatred. This article aims to find out hoaxes on social media then look for solutions. The research method used is framing analysis conducted by gathering all the contents of the news about hoaxes and radicalism. This study analyzes and concludes eight news themes about: 1) Term of social media and radicalism. 2) The use of social media in spreading radical viruses. 3) Highlight social media irregularities. 4) Hoax War, encourage online media verification. 5) Social media and environmental health. 6) Our hoaxes and Indonesianness. 7) Dispelling hoax outbreaks, 8) Hoax outbreaks; false news on social media."
D138,ORGANISASI MASYARAKAT SIPIL DAN RESTORASI SUNGAI: Studi pada Gerakan Memungut Sehelai Sampah di Sungai Karang Mumus di Kota Samarinda,"Suharko, Suharko; Kusumadewi, Christa D M",2019,Jurnal Sosiologi Reflektif,"14(1), 81–104",10.14421/jsr.v14i1.1677,Inggris,OpenAlex,,,Tidak diketahui,Multi-penulis (afiliasi tidak diketahui),10,1.4,Political science,,Digital activism (umum),Kajian internet & media,Tidak dinyatakan eksplisit / Campuran,Tidak dinyatakan eksplisit,Tidak spesifik / multi-platform,Dieksklusi,Indonesia hanya data perbandingan,W2029889044;W2050254791;W2617301682,"Ingeneral, condition of rivers in Indonesia is degraded and polluted. River restoration is effort to recover the function and natural conditions of river. The government has implemented several programs to improve some degraded rivers. Civil society organizations (CSO) and communities have initiated various actions to restore the rivers in some regions. By positioning the concept of river restoration as part of environmental movement, the article describes the Karang Mumus river restoration initiated by a CSO in the city of Samarinda. The CSO has practiced environmental education as an entry point and platform of actions for river restoration. The environmental education has engaged individuals and social groups in the city. They have learned and practiced actions to restore the river. Even though the more actions are still needed to recover the river, to some extent the CSO has been able to put river restoration as a centre of environmental activism in the city.Kondisi umum sungai-sungai di Indonesia adalah rusak dan tercemar. Restorasi sungai adalah upaya untuk mengembalikan fungsi dan kondisi alamiah dari sungai. Pemerintah telah mengimplementasikan berbagai program untuk memperbaiki kondisi sungai yang rusak dan tercemar. Berbagai komunitas dan organisasi masyarakat sipil (OMS) telah mengambil prakarsa untuk melakukan restorasi sungai di sejumlah daerah. Dengan menempatkan restorasi sungai sebagai bagian dari gerakan lingkungan, artikel ini memaparkan gerakan restorasi sungai Karang Mumus di Kota Samarinda. OMS mempraktikkan pendidikan lingkungan sebagai titik masuk dan platform aksi dalam melakukan upaya restorasi sungai. Pendidikan lingkungan telah mampu melibatkan warga individual dan kelompok-kelompok sosial di kota ini. Mereka belajar dan mempraktikan aksi-aksi restorasi sungai. Meskipun masih dibutuhkan lebih banyak aksi, sampai pada tingkat tertentu, OMS telah mampu menempatkan aksi-aksi restorasi sungai Karang Mumus sebagai titik pusat aktivisme lingkungan di Kota Samarinda."
D139,Dakwah Islam Moderat dan Realitas Politik Identitas dalam Masyarakat Meme,"Nawawi, Abd Muid",2019,Jurnal Bimas Islam,"12(1), 69–92",10.37302/jbi.v12i1.100,Indonesia,OpenAlex,Syarif Hidayatullah State Islamic University Jakarta,ID,Lokal,Tunggal,10,1.4,Humanities; Islam; Political science; Politics; Sociology; Identity (music),Humanities; Islam; Politics; Identity (music); Law; Theology; Aesthetics,Aktivisme berbasis agama/identitas,Komunikasi agama & media,Tidak dinyatakan eksplisit / Campuran,Tidak dinyatakan eksplisit,Tidak spesifik / multi-platform,Dimasukkan,,W2511515256;W2780740439;W2799404232;W2901921996;W2933511556;W6629238492;W6725893701;W6750550208,"Makalah ini bertujuan untuk menganalisis problem realitas politik identitas di Indonesia dan hubungannya dengan meme-meme serta menawarkan solusi dari dakwah Islam moderat bagi problem tersebut. Jenis kajian ini adalah kualitatif dengan pendekatan studi kasus Pemilihan Presiden dan Pemilihan Legislatif 2019 Indonesia. Data diperoleh dari penelusuran kepustakaan. Hasil kajian menunjukkan bahwa politik identitas adalah alat yang efektif untuk memainkan emosi masyarakat meme demi meraup suara dalam Pemilihan Umum dan sebaliknya, meme-meme adalah alat yang efektif untuk membangkitkan politik identitas. Semua upaya itu dilakukan demi meraih kekuasaan. Posisi dakwah Islam moderat menjadi sangat penting dalam hal ini untuk menjadi solusi bagi perpecahan yang terjadi di dalam masyarakat karena dakwah Islam moderat lebih menekankan pada kepentingan universal daripada kepentingan identitas tertentu.&#x0D; Kata Kunci: da’wah, Islam moderat, politik identitas, meme&#x0D; &#x0D; Abstract&#x0D; This paper aims to analyze the problem of the reality of identity politics in Indonesia and its relationship with memes and offers a solution of moderate Islamic da'wah to the problem. This type of study is qualitative with the case study approach of the 2019 Indonesian Presidential Election and Legislative Election. Data obtained from library research. The results of the study show that identity politics is an effective tool to play the emotions of meme society in order to win votes in elections and vice versa, memes are effective tools to generate identity politics. All efforts were made in order to gain power. The position of moderate Islamic da'wah becomes very important in this case to be a solution to the divisions that occur in society because moderate Islamic da'wah emphasizes more on the universal interests rather than the interests of certain identities.&#x0D; Keywords: da’wah, moderate Islam, identity politics, memes"
D140,Citizen engagement in an open election data initiative,"Purwanto, Arie; Zuiderwijk, Anneke; Janssen, Marijn",2018,,1–10,10.1145/3209281.3209305,Inggris,OpenAlex,Delft University of Technology,NL,Internasional,Internasional,10,1.2,Open government; Public relations; Government (linguistics); Political science; Politics; Key (lock),Public relations; Government (linguistics); Politics; Key (lock); Altruism (biology); Open data; Raw data; Public engagement; Social psychology; Computer security; Law; Programming language; Linguisti,Aktivisme politik-elektoral,Komunikasi politik,Tidak dinyatakan eksplisit / Campuran,Tidak dinyatakan eksplisit,Tidak spesifik / multi-platform,Dimasukkan,,W366521999;W560871064;W1527311855;W1567491469;W1570694482;W1601877123;W1606374348;W1782705759;W1803273808;W1951721333;W1980569376;W2006801858;W2017351373;W2057420555;W2057703193;W2060759400;W2068322856;W2088246085;W2100379340;W2106691128;W2107258608;W2113436057;W2122578209;W2149980621;W2167494271;W2171527181;W2180161642;W2206400781;W2275507448;W2288984410;W2339849542;W2571703382;W2588320944;W2601971117;W2729626559;W2758074594;W2767621751;W2856780089;W2997201866;W7034089104,"Citizen engagement is key to the successful and sustainable use of Open Government Data (OGD), involving multiple activities ranging from the retrieval and conversion of raw data to OGD based applications, to the use of these applications to solve societal problems. However, there is a lack of insight into what drives citizens to engage in OGD initiatives. Such insight helps inform policymakers in stimulating and improving the engage ability of an OGD program. This study aims to identify factors that influence why citizens engage in OGD initiatives. To attain this objective, we conducted a single case study of citizen engagement in an open election data initiative in Indonesia. Our study shows that social altruism as an intrinsic motivation is a strong driver for citizens to start and continue engaging with open election data. Low data quality appeared not to hinder citizens from engaging in the OGD initiative; in contrast, it can lead to more engagement. Election is typically concerning with political participation, yet trust and political efficacy factors only marginally influenced citizen engagement in our case study. The case shows that, in a time-critical situation where potential social conflicts were seen to threaten the citizens' lives, collective actions are enabled by the availability of OGD. We draw some key lessons learnt for policymakers to enhance OGD engage ability. Further research is needed to examine whether factors found in this particular case also apply in different settings."
D141,IInterpretasi Dan Makna Kritik Sosial Dalam “Komik Strip Untuk Umum (Kostum)” Periode 1 Desember – 31 Desember 2017,"Salam, Babus; Prasetyo, Iwan Joko; Susilo, Daniel",2018,LONTAR Jurnal Ilmu Komunikasi,"6(2), 96–96",10.30656/lontar.v6i2.949,Inggris,OpenAlex,Universitas Dr. Soetomo,ID,Lokal,Lokal,10,1.2,Comics; Criticism; Indonesian; Meaning (existential); Semiotics; Comic strip,Comics; Criticism; Indonesian; Meaning (existential); Semiotics; Literature; Linguistics; Law; Politics; Psychotherapist,Digital activism (umum),Kajian internet & media,Tidak dinyatakan eksplisit / Campuran,Tidak dinyatakan eksplisit,Tidak spesifik / multi-platform,Dimasukkan,,W2768840738;W2792630440;W3163032196;W3202032492,"Theres many ways can be done to appreciate the voices of messages and criticisms through creative ways, one of them through comics. One of the Indonesian comic artists who used comics as a medium of social criticism was Haryadhi through his ""Komik Strip Untuk Umum (KOSTUM)” creation. KOSTUM Comics record the events that are happening and pour them into comic strips spread through social media. This research is a qualitative descriptive type using Roland Barthes' semiotics theory with two-stage significance (two orders of signification). From the results of the study, researchers found the implicit meaning that is to criticize and satirize the behavior of Indonesian people in a subtle way. Criticism expressed to comics is directed directly at the actors but is delicately wrapped with humorous portrayals through their characters. From the KOSTUM comics examined can be concluded that the social criticism described in the comic is an expression of the condition of the community related to the values that are used as a guideline for living in community groups.Keywords: Comics, Social Criticism, Semiotics, Roland Barthes"
D142,Why Political Parties Colonize the Media in Indonesia: An Exploration of Mediatization,"Arifuddin, Muhammad Thaufan",2017,Jurnal Ilmu Sosial dan Ilmu Politik,"20(1), 16–16",10.22146/jsp.17994,Inggris,OpenAlex,Andalas University,ID,Lokal,Tunggal,10,1.1,Mainstream; Politics; Fourth Estate; Political science; Democracy; Political communication,Mainstream; Politics; Period (music); Political economy; Media studies; Public relations; Law; Acoustics,Digital activism (umum),Kajian internet & media,Tidak dinyatakan eksplisit / Campuran,Tidak dinyatakan eksplisit,Tidak spesifik / multi-platform,Dimasukkan,,W324608714;W593447844;W605922081;W615647031;W623182768;W949417731;W1498137061;W1542976082;W1544680749;W1556096484;W1564468917;W1978858726;W1980950897;W1981849808;W1985867053;W2010864927;W2038007619;W2053120142;W2081006766;W2088246085;W2090662864;W2100212414;W2132812971;W2137670068;W2141093370;W2142869454;W2147160422;W2249040452;W2315614710;W2322421138;W2531643676;W2691199426;W2900435161;W2915694500;W4248875456;W4250994479;W4312284247;W6617804449;W6618624309;W6619876306;W6633766235;W6756344252;W6759636551;W7048980347,"Mediatization has become more relevant in exploring relations between media and politics in post-Suharto Indonesia. However, the media's roles as the fourth estate of democracy has been hijacked by wealthy politicians and political parties. As a result, most mainstream media have failed to enhance public dabates democratically. Based on existing mediatization literature, politico-economy analysis, and data collected through extensive in-depth interviews and relevant documents in the 2013-2015 period, this article theoretically aims to develop the mediatization concept and explore the degree of mediatization of politics in contemporary Indonesia."
D143,PEREMPUAN DALAM KAMPANYE ANTIKORUPSI,"Permana, Fitri Yuliantri",2017,Jurnal ASPIKOM,"3(3), 399–399",10.24329/aspikom.v3i3.142,Indonesia,OpenAlex,Sebelas Maret University,ID,Lokal,Tunggal,10,1.1,Bureaucracy; Christian ministry; Political science; Language change; Dharma; Public administration,Christian ministry; Language change; Public administration; Politics; Law; Archaeology; Literature; Buddhism,Aktivisme gender / feminisme digital,Kajian gender & komunikasi,Tidak dinyatakan eksplisit / Campuran,Tidak dinyatakan eksplisit,Tidak spesifik / multi-platform,Dimasukkan,,W637724638;W772686138;W1539648202;W1946100151;W2236264671;W2271134565;W2773641852;W4210311553;W6731878634;W6732271396;W7033366526,"Komisi Pemberantasan Korupsi (KPK) drafted a social movement Saya Perempuan ANtikorupsi (SPAK) by involving the strategic role of women as campaign communicators. This research will discuss how anti-corruption campaign process through SPAK Movement on Dharma Wanita Persatuan Kementerian Agama Indonesia (DWP Kemenag). The research was conducted with case study methodology during the April 2016-April 2017 campaign period in the central ministry’s DWP and regional offices. Based on the results of the research, some characteristics of the SPAK movement in DWP Kemenag are the women’s campaign style which emphasizes the role of women as the moral guardians of husbands and families, the presence of key organizational advisors as the main supporters of the campaign, and massive campaign spread resulting from existing organizational structures up to the root level grass. The results of this study are expected to be a model picture of anti-corruption campaigns conducted in the bureaucratic environment through the strategic role of women."
D144,Female Indonesian migrant domestic workers in Hong Kong: A case study of advocacy through Facebook and the story of Erwiana Sulistyaningsih,"Allmark, Panizza; Wahyudi, Irfan",2016,Australasian Journal of Paramedicine,,,Inggris,OpenAlex,,,Tidak diketahui,Multi-penulis (afiliasi tidak diketahui),10,1.0,Indonesian; Migrant workers; Social media; Advertising; Political science; Gender studies,Indonesian; Migrant workers; Social media; Advertising; Gender studies; Economic growth; Linguistics; Law,Aktivisme gender / feminisme digital,Kajian gender & komunikasi,Tidak dinyatakan eksplisit / Campuran,Tidak dinyatakan eksplisit,Facebook,Dimasukkan,,,"Hong Kong is a major receiving country for migrant workers, particularly women from Southeast Asia who work as domestic assistants and caregivers. One in five Hong Kong households employs migrant domestic workers (Sim 2003, 479) and there are over three hundred thousand migrant domestic workers in the country, with just about half of them from Indonesia (Amnesty International 2013). The Asian Migrant Centre (2007, 6) claims that Hong Kong is the premium destination for Indonesian migrant workers because of its moderately higher salaries, the perception of superior laws and regulations and an ambience of independence. Previous research on Indonesian migrant workers' lives in Hong Kong has mostly focused on the relationship between migrant workers and law, human rights and inequality, gender issues, political action and civil rights (Lai 2007: Ignacio and Mejia 2009; Lui 2010). However, there has been very little significant research relating Indonesian female domestic workers; activities to social media activism."
